Código;Nombre;Stock;Costo;Precio;Categoría;MinStock;FechaVencimiento;TipoProducto;EsBulto;PesoBultoKg;PrecioPorKilo;RendimientoRaciones;Lote;Especie;RequiereReceta
ALP001;Concentrado Dog Chow Adulto (bulto);14;115500;170000;Alimentos para Perros;4;2027-11-20;Granel-Alimento;SI;25;6800;90;;Perro;NO
ALP002;Concentrado Pedigree Cachorro (bulto);17;102500;151000;Alimentos para Perros;4;2027-07-05;Granel-Alimento;SI;21;7200;75;;Perro;NO
ALP003;Concentrado Purina Pro Plan Raza Pequeña (bulto);5;100000;147000;Alimentos para Perros;3;2026-04-28;Granel-Alimento;SI;15;9800;55;;Perro;NO
ALP004;Concentrado Ringo Adulto (bulto);16;78000;114500;Alimentos para Perros;4;2027-05-08;Granel-Alimento;SI;22;5200;85;;Perro;NO
ALP005;Concentrado Nutrican Cachorro (bulto);6;79000;116000;Alimentos para Perros;3;2027-11-24;Granel-Alimento;SI;20;5800;78;;Perro;NO
ALP006;Dog Chow Adulto Bolsa x8kg;19;46200;68000;Alimentos para Perros;5;2026-11-02;Físico;;;;;;Perro;NO
ALP007;Pedigree Adulto Razas Pequeñas x3kg;26;28600;42000;Alimentos para Perros;7;2027-10-04;Físico;;;;;;Perro;NO
ALP008;Purina One Adulto x8kg;17;53700;79000;Alimentos para Perros;4;2027-01-08;Físico;;;;;;Perro;NO
ALP009;Royal Canin Medium Adult x15kg;20;193800;285000;Alimentos para Perros;5;2027-04-15;Físico;;;;;;Perro;NO
ALP010;Hill's Science Diet Cachorro x7.5kg;10;132600;195000;Alimentos para Perros;3;2027-07-19;Físico;;;;;;Perro;NO
ALP011;Comida Húmeda Pedigree Lata x374g;24;5800;8500;Alimentos para Perros;6;2027-10-07;Físico;;;;;;Perro;NO
ALG001;Whiskas Adulto x1kg;27;12600;18500;Alimentos para Gatos;7;2026-12-04;Físico;;;;;;Gato;NO
ALG002;Cat Chow Adulto x8kg;27;60500;89000;Alimentos para Gatos;7;2026-01-14;Físico;;;;;;Gato;NO
ALG003;Friskies Adulto x7kg;10;49000;72000;Alimentos para Gatos;3;2026-12-07;Físico;;;;;;Gato;NO
ALG004;Purina Pro Plan Gato Esterilizado x7.5kg;16;114200;168000;Alimentos para Gatos;4;2027-09-17;Físico;;;;;;Gato;NO
ALG005;Royal Canin Gato Indoor x7.5kg;26;142800;210000;Alimentos para Gatos;7;2027-08-03;Físico;;;;;;Gato;NO
ALG006;Concentrado Ringo Gato (bulto);9;76000;112000;Alimentos para Gatos;3;2026-11-28;Granel-Alimento;SI;20;5600;80;;Gato;NO
ALG007;Whiskas Sobre Alimento Húmedo x85g;15;2200;3200;Alimentos para Gatos;4;2027-03-12;Físico;;;;;;Gato;NO
